Title, Price, Shipping
MSI Ventus GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Video Card RTX 3050 VENTUS 2X 6G OC,169.99,Free Shipping
ZOTAC GAMING GeForce RTX 4080 SUPER Trinity OC White Edition DLSS 3 16GB GDDR6X 256-bit 23 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| SPECTRA RGB Lighting| ZT-D40820Q-10P,1,079.99,Free Shipping
XFX SPEEDSTER SWFT319 AMD Radeon RX 6800 CORE Gaming Graphics Card,389.99,Free Shipping
ASUS Dual GeForce RTX 4070 SUPER EVO OC Edition 12GB GDDR6X (PCIe 4.0| 12GB GDDR6X| DLSS 3| HDMI 2.1a| DisplayPort 1.4a| 2.5-slot design| Axial-tech fan design| 0dB technology) DUAL-RTX4070S-O12G-EVO,599.99,Free Shipping
SAPPHIRE PULSE Radeon RX 7900 GRE 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card 11325-04-20G,549.99,Free Shipping
PowerColor Fighter Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 ATX Video Card 6600XT 8GBD6-3DH,219.99,Free Shipping
XFX SPEEDSTER QICK319 RADEON RX 6750 XT CORE Gaming Graphics Card,349.99,Free Shipping
ZOTAC GAMING GeForce RTX 4060 Ti 16GB AMP DLSS 3 16GB GDDR6 128-bit 18 Gbps PCIE 4.0 Compact Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| SPECTRA RGB Lighting| ZT-D40620F-10M,449.99,Free Shipping
Yeston Radeon RX 7900 XTX 24GD6 GDDR6 384bit 5nm video cards Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible RGB light effect Fragrant graphics card,979.00,Free Shipping
NVIDIA GeForce RTX 4090 Founders Edition Graphics Card 24GB GDDR6X - Titanium and Black,2,439.00,Free Shipping
PNY GeForce RTX 4090 24GB XLR8 Gaming VERTO EPIC-X RGB Overclocked Triple Fan DLSS 3 VCG409024TFXXPB1-O,1,749.99,Free Shipping
PNY GeForce RTX 4070 Ti SUPER 16GB VERTO Overclocked Triple Fan DLSS 3 VCG4070TS16TFXXPB1-O,809.99,Free Shipping
PowerColor Hellhound Radeon RX 7800 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card RX7800XT 16G-L/OC,519.99,Free Shipping
Refurbished NVIDIA GeForce RTX 3080 Founders Edition GDDR6X RTX 3080 FE Video Card,499.97,Free Shipping
ASRock Radeon RX 6600 8GB GDDR6 PCI Express 4.0 Video Card RX6600 CLD 8G,199.99,Free Shipping
MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 10G OC LHR,899.99,$35.00 Shipping
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 3X 12G OC,299.99,Free Shipping
ASUS TUF Gaming GeForce RTX 4090 OC Edition Gaming Graphics Card (PCIe 4.0| 24GB GDDR6X| HDMI 2.1a| DisplayPort 1.4a) TUF-RTX4090-O24G-GAMING,UnkownUnkown,
